statistic,imitation,reference
min,0.046439909297052155,0.07605442176870748
max,46.81142857142857,15.360657596371881
mean,5.210446682701561,4.691012710127102
median,4.347936507936508,4.1840362811791385
std,3.736257320283489,3.056374328119882
10th percentile,1.486077097505669,1.0344489795918368
25th percentile,2.5425850340136056,2.2127437641723358
50th percentile,4.347936507936508,4.1840362811791385
75th percentile,6.965986394557823,6.982874149659864
90th percentile,10.681179138321996,8.858959183673472
95th percentile,11.23845804988662,9.769766439909297
99th percentile,16.253968253968253,14.128484353741523
