=== Simplified Parameter Blocks ===
adapter.adapter, Params: 1511.9K
audioldm.cond_stage_model.model.audio_branch.bn0, Params: 0.1K
audioldm.cond_stage_model.model.audio_branch.head, Params: 278.3K
audioldm.cond_stage_model.model.audio_branch.layers.blocks.attn.proj, Params: 5415.7K
audioldm.cond_stage_model.model.audio_branch.layers.blocks.attn.qkv, Params: 16247.0K
audioldm.cond_stage_model.model.audio_branch.layers.blocks.attn.relative_position_bias_table, Params: 63.0K
audioldm.cond_stage_model.model.audio_branch.layers.blocks.mlp.fc1, Params: 21662.7K
audioldm.cond_stage_model.model.audio_branch.layers.blocks.mlp.fc2, Params: 21635.8K
audioldm.cond_stage_model.model.audio_branch.layers.blocks.norm1, Params: 17.9K
audioldm.cond_stage_model.model.audio_branch.layers.blocks.norm2, Params: 17.9K
audioldm.cond_stage_model.model.audio_branch.layers.downsample.norm, Params: 7.2K
audioldm.cond_stage_model.model.audio_branch.layers.downsample.reduction, Params: 2752.5K
audioldm.cond_stage_model.model.audio_branch.logmel_extractor.melW, Params: 32.8K
audioldm.cond_stage_model.model.audio_branch.norm, Params: 2.0K
audioldm.cond_stage_model.model.audio_branch.patch_embed.norm, Params: 0.3K
audioldm.cond_stage_model.model.audio_branch.patch_embed.proj, Params: 2.2K
audioldm.cond_stage_model.model.audio_branch.spectrogram_extractor.stft.conv_imag, Params: 525.3K
audioldm.cond_stage_model.model.audio_branch.spectrogram_extractor.stft.conv_real, Params: 525.3K
audioldm.cond_stage_model.model.audio_branch.tscam_conv, Params: 3238.4K
audioldm.cond_stage_model.model.audio_projection, Params: 787.5K
audioldm.cond_stage_model.model.audio_transform.sequential, Params: 525.3K
audioldm.cond_stage_model.model.logit_scale_a, Params: 0.0K
audioldm.cond_stage_model.model.logit_scale_t, Params: 0.0K
audioldm.cond_stage_model.model.text_branch.embeddings.LayerNorm, Params: 1.5K
audioldm.cond_stage_model.model.text_branch.embeddings.position_embeddings, Params: 394.8K
audioldm.cond_stage_model.model.text_branch.embeddings.token_type_embeddings, Params: 0.8K
audioldm.cond_stage_model.model.text_branch.embeddings.word_embeddings, Params: 38603.5K
audioldm.cond_stage_model.model.text_branch.encoder.layer.attention.output.LayerNorm, Params: 18.4K
audioldm.cond_stage_model.model.text_branch.encoder.layer.attention.output.dense, Params: 7087.1K
audioldm.cond_stage_model.model.text_branch.encoder.layer.attention.self.key, Params: 7087.1K
audioldm.cond_stage_model.model.text_branch.encoder.layer.attention.self.query, Params: 7087.1K
audioldm.cond_stage_model.model.text_branch.encoder.layer.attention.self.value, Params: 7087.1K
audioldm.cond_stage_model.model.text_branch.encoder.layer.intermediate.dense, Params: 28348.4K
audioldm.cond_stage_model.model.text_branch.encoder.layer.output.LayerNorm, Params: 18.4K
audioldm.cond_stage_model.model.text_branch.encoder.layer.output.dense, Params: 28320.8K
audioldm.cond_stage_model.model.text_branch.pooler.dense, Params: 590.6K
audioldm.cond_stage_model.model.text_projection, Params: 656.4K
audioldm.cond_stage_model.model.text_transform.sequential, Params: 525.3K
audioldm.first_stage_model.decoder.conv_in, Params: 37.4K
audioldm.first_stage_model.decoder.conv_out, Params: 1.2K
audioldm.first_stage_model.decoder.mid.attn_1.k, Params: 262.7K
audioldm.first_stage_model.decoder.mid.attn_1.norm, Params: 1.0K
audioldm.first_stage_model.decoder.mid.attn_1.proj_out, Params: 262.7K
audioldm.first_stage_model.decoder.mid.attn_1.q, Params: 262.7K
audioldm.first_stage_model.decoder.mid.attn_1.v, Params: 262.7K
audioldm.first_stage_model.decoder.mid.block_1.conv1, Params: 2359.8K
audioldm.first_stage_model.decoder.mid.block_1.conv2, Params: 2359.8K
audioldm.first_stage_model.decoder.mid.block_1.norm1, Params: 1.0K
audioldm.first_stage_model.decoder.mid.block_1.norm2, Params: 1.0K
audioldm.first_stage_model.decoder.mid.block_2.conv1, Params: 2359.8K
audioldm.first_stage_model.decoder.mid.block_2.conv2, Params: 2359.8K
audioldm.first_stage_model.decoder.mid.block_2.norm1, Params: 1.0K
audioldm.first_stage_model.decoder.mid.block_2.norm2, Params: 1.0K
audioldm.first_stage_model.decoder.norm_out, Params: 0.3K
audioldm.first_stage_model.decoder.up.block.conv1, Params: 10029.7K
audioldm.first_stage_model.decoder.up.block.conv2, Params: 9292.4K
audioldm.first_stage_model.decoder.up.block.nin_shortcut, Params: 164.2K
audioldm.first_stage_model.decoder.up.block.norm1, Params: 6.1K
audioldm.first_stage_model.decoder.up.block.norm2, Params: 5.4K
audioldm.first_stage_model.decoder.up.upsample.conv, Params: 2949.9K
audioldm.first_stage_model.encoder.conv_in, Params: 1.3K
audioldm.first_stage_model.encoder.conv_out, Params: 73.7K
audioldm.first_stage_model.encoder.down.block.conv1, Params: 4720.4K
audioldm.first_stage_model.encoder.down.block.conv2, Params: 6194.9K
audioldm.first_stage_model.encoder.down.block.nin_shortcut, Params: 164.6K
audioldm.first_stage_model.encoder.down.block.norm1, Params: 2.8K
audioldm.first_stage_model.encoder.down.block.norm2, Params: 3.6K
audioldm.first_stage_model.encoder.down.downsample.conv, Params: 737.7K
audioldm.first_stage_model.encoder.mid.attn_1.k, Params: 262.7K
audioldm.first_stage_model.encoder.mid.attn_1.norm, Params: 1.0K
audioldm.first_stage_model.encoder.mid.attn_1.proj_out, Params: 262.7K
audioldm.first_stage_model.encoder.mid.attn_1.q, Params: 262.7K
audioldm.first_stage_model.encoder.mid.attn_1.v, Params: 262.7K
audioldm.first_stage_model.encoder.mid.block_1.conv1, Params: 2359.8K
audioldm.first_stage_model.encoder.mid.block_1.conv2, Params: 2359.8K
audioldm.first_stage_model.encoder.mid.block_1.norm1, Params: 1.0K
audioldm.first_stage_model.encoder.mid.block_1.norm2, Params: 1.0K
audioldm.first_stage_model.encoder.mid.block_2.conv1, Params: 2359.8K
audioldm.first_stage_model.encoder.mid.block_2.conv2, Params: 2359.8K
audioldm.first_stage_model.encoder.mid.block_2.norm1, Params: 1.0K
audioldm.first_stage_model.encoder.mid.block_2.norm2, Params: 1.0K
audioldm.first_stage_model.encoder.norm_out, Params: 1.0K
audioldm.first_stage_model.post_quant_conv, Params: 0.1K
audioldm.first_stage_model.quant_conv, Params: 0.3K
audioldm.first_stage_model.vocoder.conv_post, Params: 0.2K
audioldm.first_stage_model.vocoder.conv_pre, Params: 459.8K
audioldm.first_stage_model.vocoder.resblocks.convs1, Params: 22007.5K
audioldm.first_stage_model.vocoder.resblocks.convs2, Params: 22007.5K
audioldm.first_stage_model.vocoder.ups, Params: 10789.9K
audioldm.logvar, Params: 1.0K
audioldm.model.diffusion_model.film_emb, Params: 394.0K
audioldm.model.diffusion_model.input_blocks, Params: 14.0K
audioldm.model.diffusion_model.input_blocks.emb_layers, Params: 6492.3K
audioldm.model.diffusion_model.input_blocks.in_layers, Params: 20913.0K
audioldm.model.diffusion_model.input_blocks.norm, Params: 7.7K
audioldm.model.diffusion_model.input_blocks.op, Params: 4646.0K
audioldm.model.diffusion_model.input_blocks.out_layers, Params: 25891.2K
audioldm.model.diffusion_model.input_blocks.proj_in, Params: 2805.5K
audioldm.model.diffusion_model.input_blocks.proj_out, Params: 2805.5K
audioldm.model.diffusion_model.input_blocks.skip_connection, Params: 849.8K
audioldm.model.diffusion_model.input_blocks.transformer_blocks.attn1.to_k, Params: 2801.7K
audioldm.model.diffusion_model.input_blocks.transformer_blocks.attn1.to_out, Params: 2805.5K
audioldm.model.diffusion_model.input_blocks.transformer_blocks.attn1.to_q, Params: 2801.7K
audioldm.model.diffusion_model.input_blocks.transformer_blocks.attn1.to_v, Params: 2801.7K
audioldm.model.diffusion_model.input_blocks.transformer_blocks.attn2.to_k, Params: 2801.7K
audioldm.model.diffusion_model.input_blocks.transformer_blocks.attn2.to_out, Params: 2805.5K
audioldm.model.diffusion_model.input_blocks.transformer_blocks.attn2.to_q, Params: 2801.7K
